,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
8298,9119071000.0,1454745900.0,79099765000.0,23.508602,0.29752678,94.04422,51.841106,89676095000.0,0.7
8299,1820147600.0,192778830.0,25005957000.0,12.448896,0.063138336,69.45462,41.274933,27018883000.0,0.7
8300,9230739000.0,869289600.0,89503270000.0,29.576578,0.2193788,85.24074,50.577103,99606380000.0,0.7
8301,11294735000.0,1396511200.0,78067950000.0,25.059721,0.66272444,92.11711,50.165916,90764304000.0,0.7
8302,9656125000.0,737782140.0,85663210000.0,28.691343,0.33696097,85.42974,50.691586,96060195000.0,0.7
8303,8900693000.0,742736800.0,88310820000.0,27.377518,0.25137886,91.72087,49.774067,97956920000.0,0.7
8304,9397277000.0,480309950.0,88363000000.0,34.926704,0.33726254,78.9804,46.11506,98242320000.0,0.7
8305,9843267000.0,444803460.0,84956275000.0,29.533556,0.24263492,84.315025,50.2054,95246990000.0,0.7
8306,8245777400.0,734235970.0,72900240000.0,24.402164,0.26623344,85.8826,48.149952,81883540000.0,0.7
8307,8009427500.0,479061900.0,93072430000.0,31.13112,0.23473786,85.52934,51.506275,101563080000.0,0.7
8308,10374146000.0,478197250.0,70559360000.0,31.157467,0.16629106,76.922,43.8382,81413980000.0,0.7
8309,7849430000.0,1753882900.0,90820040000.0,26.99738,0.3761475,96.408035,52.14348,100427910000.0,0.7
8310,7302787600.0,2435866400.0,83660370000.0,24.010952,0.36916178,104.44579,52.630405,93407330000.0,0.7
8311,10313208000.0,1016270900.0,80563100000.0,28.492895,0.40870404,86.47977,48.117043,91896455000.0,0.7
8312,10230961000.0,756646300.0,86526690000.0,27.24658,0.37461227,89.13402,50.3129,97517600000.0,0.7
8313,10986650000.0,269485340.0,82338160000.0,36.85955,0.12453107,74.89595,45.473873,93594300000.0,0.7
8314,8688925000.0,404715260.0,72792240000.0,30.989275,0.1275985,76.835045,46.020206,81887260000.0,0.7
8315,8820584000.0,948868700.0,90415750000.0,27.665892,0.19148347,89.88187,50.404076,100189320000.0,0.7
8316,7749559300.0,928001900.0,94577050000.0,28.418064,0.29379925,90.43148,52.174816,103259450000.0,0.7
8317,10140801000.0,890085200.0,86027120000.0,25.837648,0.26350635,92.31059,50.83159,97061170000.0,0.7
8318,9296150000.0,554687700.0,88172430000.0,29.779097,0.16630785,85.00306,49.213913,98025955000.0,0.7
