,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
1132,14231233000.0,881701300.0,104410644000.0,45.21126,0.24459243,79.1429,44.15287,119528590000.0,0.0
1133,12969099000.0,3430795000.0,149003450000.0,39.769043,0.1594494,99.068726,53.466934,165413950000.0,0.0
1134,12709943000.0,1135697300.0,115541040000.0,37.39785,0.19975291,91.50506,48.477394,129390985000.0,0.0
1135,12901880000.0,3223912700.0,132787930000.0,35.375652,0.38348785,100.298,52.592205,148923840000.0,0.0
1136,12762706000.0,3324273400.0,143272640000.0,44.05715,0.6040411,95.48611,50.70109,159368480000.0,0.0
1137,11388348000.0,3065335600.0,157220360000.0,43.487335,0.5067875,103.88412,53.54861,171684460000.0,0.0
1138,5493587000.0,938852160.0,51475243000.0,29.06632,0.08342311,67.72665,35.560455,57910000000.0,0.0
1139,2867254000.0,625862000.0,33972890000.0,17.17676,0.1263135,70.00368,37.70207,37466006000.0,0.0
1140,18554223000.0,1319390100.0,130158010000.0,39.80706,0.2973487,91.732346,50.358665,150037430000.0,0.0
1141,14726213000.0,2156945000.0,126238110000.0,40.694435,0.36383548,98.02026,49.983788,143128610000.0,0.0
1142,15332183000.0,2865506000.0,135315760000.0,45.053432,0.4908234,94.26848,49.63715,153524420000.0,0.0
1143,7151686000.0,4964446000.0,163160800000.0,36.639225,0.28081343,113.15986,58.902348,175291420000.0,0.0
1144,15165170000.0,2829133300.0,142631500000.0,38.768867,0.48781097,102.82519,52.398914,160636750000.0,0.0
1145,13636890000.0,782165500.0,93445415000.0,40.84497,0.10656508,81.51817,43.662846,107867430000.0,0.0
1146,17353191000.0,454958720.0,115183935000.0,65.091606,0.061248675,74.83177,41.521538,132994940000.0,0.0
1147,1364522900.0,192926080.0,6630140000.0,7.752772,0.039650667,48.043377,28.125746,8187589000.0,0.0
1148,12971337000.0,2845227300.0,154078170000.0,37.94636,0.4713689,107.594765,55.949795,169903060000.0,0.0
1149,12766562000.0,2681996300.0,152191480000.0,40.277092,0.4947726,100.044785,54.224567,167650180000.0,0.0
1150,14072806000.0,1291111000.0,143507690000.0,46.17624,0.3206663,94.58146,51.0196,158877660000.0,0.0
1151,14507187000.0,3028155000.0,135581640000.0,42.702736,0.20953283,97.83911,49.450554,153126940000.0,0.0
1152,15919898000.0,2155826200.0,130091780000.0,45.09361,0.32206607,90.01874,48.6161,148174420000.0,0.0
1153,10856034000.0,3254747600.0,151737290000.0,42.26223,0.42330912,104.32727,53.795536,165861340000.0,0.0
1154,16662000000.0,1001954400.0,139875000000.0,42.511826,0.33597746,92.92237,49.989,157543510000.0,0.0
1155,15254096000.0,918688800.0,140611420000.0,51.734615,0.14837158,86.03546,47.38436,156788490000.0,0.0
1156,3719738000.0,241511970.0,47681470000.0,34.138607,0.039140474,63.18697,32.9741,51642724000.0,0.0
1157,2140807000.0,358362200.0,31379276000.0,17.437166,0.06605321,66.43453,37.73178,33878446000.0,0.0
1158,13227173000.0,1824938400.0,153255070000.0,41.600365,0.32022718,98.738464,53.1097,168315060000.0,0.0
1159,9038474000.0,3068999200.0,154598600000.0,42.778107,0.34488818,98.7732,52.753998,166717670000.0,0.0
1160,12217342000.0,3818840000.0,138820490000.0,34.234055,0.30666566,106.14809,54.957497,154865800000.0,0.0
1161,11276475000.0,2850919200.0,145652090000.0,42.53193,0.3734097,100.93444,51.61175,159791450000.0,0.0
1162,15107056000.0,1458839800.0,139502010000.0,43.501408,0.22233973,94.45754,50.024025,156072410000.0,0.0
1163,13981614000.0,1542233200.0,139585520000.0,53.12225,0.3268,88.849236,46.531193,155115680000.0,0.0
1164,14493694000.0,2130392400.0,134406900000.0,38.004265,0.6038004,100.98248,52.00347,151037170000.0,0.0
1165,16812632000.0,1287784300.0,132740284000.0,42.023895,0.2722046,91.55382,49.726906,150845670000.0,0.0
1166,14032034000.0,1166999900.0,139924460000.0,47.629536,0.15350877,90.660645,47.98967,155128100000.0,0.0
1167,15418478000.0,1442620200.0,139031040000.0,42.0155,0.17646955,92.31072,50.394184,155898530000.0,0.0
1168,7118802400.0,1257046300.0,82910780000.0,34.660625,0.15706326,80.28069,41.935535,91291450000.0,0.0
1169,13714966000.0,2657425400.0,131613640000.0,40.34134,0.4807646,97.05148,51.124252,147992540000.0,0.0
1170,14211510000.0,869453700.0,125421360000.0,54.182396,0.49196726,81.59712,45.012493,140505810000.0,0.0
